country_or_area,commodity_transaction,year,unit,quantity,quantity_footnotes,category
Mexico,"Anthracite - consumption by other manuf., const. and non-fuel ind.",2008,"Metric tons,  thousand",5,,anthracite
Mexico,"Anthracite - consumption by other manuf., const. and non-fuel ind.",2007,"Metric tons,  thousand",9,,anthracite
Mexico,"Anthracite - consumption by other manuf., const. and non-fuel ind.",2006,"Metric tons,  thousand",52,,anthracite
Mexico,"Anthracite - consumption by other manuf., const. and non-fuel ind.",2005,"Metric tons,  thousand",48,,anthracite
Mexico,"Anthracite - consumption by other manuf., const. and non-fuel ind.",2004,"Metric tons,  thousand",60,,anthracite
Mexico,"Anthracite - consumption by other manuf., const. and non-fuel ind.",2003,"Metric tons,  thousand",65,,anthracite
Mexico,Anthracite - consumption not elsewhere specified (industry),2014,"Metric tons,  thousand",97,,anthracite
Mexico,Anthracite - consumption not elsewhere specified (industry),2013,"Metric tons,  thousand",115,,anthracite
Mexico,Anthracite - consumption not elsewhere specified (industry),2012,"Metric tons,  thousand",88,,anthracite
Mexico,Anthracite - consumption not elsewhere specified (industry),2011,"Metric tons,  thousand",84,,anthracite
Mexico,Anthracite - consumption not elsewhere specified (industry),2010,"Metric tons,  thousand",48,,anthracite
Mexico,Anthracite - consumption not elsewhere specified (industry),2009,"Metric tons,  thousand",34,,anthracite
Mexico,Anthracite - consumption not elsewhere specified (industry),2008,"Metric tons,  thousand",5,,anthracite
Mexico,Anthracite - consumption not elsewhere specified (industry),2007,"Metric tons,  thousand",9,,anthracite
Mexico,Anthracite - consumption not elsewhere specified (industry),2006,"Metric tons,  thousand",52,,anthracite
Mexico,Anthracite - consumption not elsewhere specified (industry),2005,"Metric tons,  thousand",48,,anthracite
Mexico,Anthracite - consumption not elsewhere specified (industry),2004,"Metric tons,  thousand",60,,anthracite
Mexico,Anthracite - consumption not elsewhere specified (industry),2003,"Metric tons,  thousand",65,,anthracite
Mexico,Anthracite - exports,2014,"Metric tons,  thousand",4,,anthracite
Mexico,Anthracite - exports,2013,"Metric tons,  thousand",4,,anthracite
Mexico,Anthracite - exports,2012,"Metric tons,  thousand",6,,anthracite
Mexico,Anthracite - exports,2011,"Metric tons,  thousand",9,,anthracite
Mexico,Anthracite - exports,2010,"Metric tons,  thousand",5,,anthracite
Mexico,Anthracite - exports,2009,"Metric tons,  thousand",5,,anthracite
Mexico,Anthracite - exports,2008,"Metric tons,  thousand",7,,anthracite
Mexico,Anthracite - exports,2007,"Metric tons,  thousand",8,,anthracite
Mexico,Anthracite - exports,2006,"Metric tons,  thousand",3,,anthracite
Mexico,Anthracite - exports,2005,"Metric tons,  thousand",4,,anthracite
Mexico,Anthracite - exports,2004,"Metric tons,  thousand",1,,anthracite
Mexico,Anthracite - Final consumption,2014,"Metric tons,  thousand",97,,anthracite
Mexico,Anthracite - Final consumption,2013,"Metric tons,  thousand",115,,anthracite
Mexico,Anthracite - Final consumption,2012,"Metric tons,  thousand",88,,anthracite
Mexico,Anthracite - Final consumption,2011,"Metric tons,  thousand",84,,anthracite
Mexico,Anthracite - Final consumption,2010,"Metric tons,  thousand",48,,anthracite
Mexico,Anthracite - Final consumption,2009,"Metric tons,  thousand",34,,anthracite
Mexico,Anthracite - Final consumption,2008,"Metric tons,  thousand",5,,anthracite
Mexico,Anthracite - Final consumption,2007,"Metric tons,  thousand",9,,anthracite
Mexico,Anthracite - Final consumption,2006,"Metric tons,  thousand",52,,anthracite
Mexico,Anthracite - Final consumption,2005,"Metric tons,  thousand",48,,anthracite
Mexico,Anthracite - Final consumption,2004,"Metric tons,  thousand",60,,anthracite
